,Total ppl,Sex_female,Sex_male,Age Category_Bebe,Age Category_Niño,Age Category_Adolescente,Age Category_Adulto Joven,Age Category_Adulto Mayor,Age Category_Anciano,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Prueba,Predicción
851,7,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
11,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
423,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
672,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
161,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
420,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
757,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
650,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
87,5,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
176,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
128,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
447,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
309,2,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
473,4,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
746,3,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
374,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
358,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
98,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
85,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
194,3,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1
484,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
828,3,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1
51,6,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
386,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
684,8,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
340,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
231,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
535,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
785,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
398,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
300,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
530,4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
645,4,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
166,3,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1
709,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1
820,6,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
541,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
721,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
866,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
424,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
817,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
327,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
175,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
413,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
667,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
268,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
819,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
454,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
877,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
